 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 12/08/2008   12:06:44
 ---------------------------------------------------------------------------------------------------------------------------------- 

12:06:44  |  General  |  Info  |  * Initialise: Gui  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_gui.cpp  |  39
12:06:44  |  General  |  Info  |  * MyGUI version 2.2.0  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_gui.cpp  |  43
12:06:44  |  General  |  Info  |  Viewport : 640 480  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_gui.cpp  |  51
12:06:44  |  General  |  Info  |  * Initialise: ResourceManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_resourcemanager.cpp  |  24
12:06:44  |  General  |  Info  |  ResourceManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_resourcemanager.cpp  |  36
12:06:44  |  General  |  Info  |  * Initialise: LayerManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_layermanager.cpp  |  26
12:06:44  |  General  |  Info  |  LayerManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_layermanager.cpp  |  46
12:06:44  |  General  |  Info  |  * Initialise: WidgetManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  46
12:06:44  |  General  |  Info  |  * Register widget factory 'Widget'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'Button'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'Window'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'List'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'HScroll'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'VScroll'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'Edit'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'ComboBox'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'StaticText'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'Tab'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'TabItem'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'TabItem'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'Sheet'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'Progress'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'ItemBox'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'MultiList'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
